Data As Of,Start Date,End Date,Jurisdiction of Occurrence,Year,Month,All Cause,Natural Cause,Septicemia,Malignant Neoplasms,Diabetes Mellitus,Alzheimer Disease,Influenza and Pneumonia,Chronic Lower Respiratory Diseases,Other Diseases of Respiratory System,"Nephritis, Nephrotic Syndrome and Nephrosis","Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",Diseases of Heart,Cerebrovascular Diseases,Accidents (Unintentional Injuries),Motor Vehicle Accidents,Intentional Self-Harm (Suicide),Assault (Homicide),Drug Overdose,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),flag_accid,flag_mva,flag_suic,flag_homic,flag_drugod
06/30/2021,01/01/2020,01/31/2020,United States,2020,1,264680,242924,3696,52636,8238,11121,6658,15535,4498,4886,2785,60899,14114,14996,2915,4037,1710,6531,7,4,,,,,
06/30/2021,02/01/2020,02/29/2020,United States,2020,2,244962,224345,3338,48779,7763,10444,6146,14269,4065,4507,2634,56843,12818,14493,2910,3662,1471,6425,20,17,,,,,
06/30/2021,03/01/2020,03/31/2020,United States,2020,3,269807,247656,3687,51651,8441,11386,7591,15285,4501,4729,2861,60238,13746,15422,2872,3947,1693,7244,7143,6760,,,,,
06/30/2021,04/01/2020,04/30/2020,United States,2020,4,322423,300797,3385,48776,9445,12309,5822,13767,4035,4477,2872,62322,13423,15473,2567,3476,1759,7920,65446,61923,,,,,
06/30/2021,05/01/2020,05/31/2020,United States,2020,5,280560,255567,3092,49018,8361,10707,3625,12067,3492,4123,2653,56564,12790,18141,3365,3758,2060,9394,38285,35235,,,,,
06/30/2021,06/01/2020,06/30/2020,United States,2020,6,250449,225512,3047,47971,7632,9954,3073,10935,3283,4008,2589,53591,12327,17733,4024,3976,2252,8168,17997,15815,,,,,
06/30/2021,07/01/2020,07/31/2020,United States,2020,7,279002,252542,3141,50630,8642,11023,3335,11675,3314,4263,3017,57177,13031,18759,4101,4177,2420,8526,31108,28265,,,,,
06/30/2021,08/01/2020,08/31/2020,United States,2020,8,277271,251171,3280,51211,8302,10968,3214,11519,3394,4232,2960,56232,13095,18678,4222,4036,2341,8270,29873,27007,,,,,
06/30/2021,09/01/2020,09/30/2020,United States,2020,9,257176,232939,3152,49671,7991,10473,3087,11069,3308,3991,2764,53879,12776,17133,4075,3914,2176,7491,19130,16836,,,,,
06/30/2021,10/01/2020,10/31/2020,United States,2020,10,273895,249521,3265,51255,8322,11066,3339,11601,3557,4239,2938,56878,13616,17134,4192,3780,2351,7347,24889,22052,,,,,
06/30/2021,11/01/2020,11/30/2020,United States,2020,11,302539,278916,3404,49656,8887,11631,3545,12010,3644,4404,3126,58266,13556,16659,3790,3703,2233,7288,53190,47989,,,,,
06/30/2021,12/01/2020,12/31/2020,United States,2020,12,367096,342862,3796,51906,10295,13197,4292,13051,4105,4750,3672,65359,15275,,,,,,98003,89447,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
06/30/2021,01/01/2021,01/31/2021,United States,2021,1,370323,345969,3674,51246,10095,12683,4270,12699,4124,5239,4421,64566,14999,,,,,,104088,95104,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
06/30/2021,02/01/2021,02/28/2021,United States,2021,2,273782,252952,3267,44712,8152,9645,3291,10507,3449,4236,4556,54245,12690,,,,,,46660,41203,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
06/30/2021,03/01/2021,03/31/2021,United States,2021,3,261856,239937,3247,48666,8174,9496,3198,11086,3624,4387,6569,55121,13196,,,,,,22615,19133,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
06/30/2021,04/01/2021,04/30/2021,United States,2021,4,244879,225810,2882,47114,7482,8511,2864,10443,3326,4064,9799,51311,12513,,,,,,18177,15558,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
06/30/2021,05/01/2021,05/31/2021,United States,2021,5,238453,223087,2859,47455,7046,8607,2679,10491,3429,3939,13582,49237,12206,,,,,,14039,12000,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
06/30/2021,06/01/2021,06/26/2021,United States,2021,6,127609,121569,1552,27148,3641,5102,1463,5994,1937,2162,9078,26696,6674,,,,,,4428,3680,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
