"Notes"	"Year"	"Year Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Cut/Pierce"	"GRINJ-001"	1879	279040168	0.7
	"1999"	"1999"	"Drowning"	"GRINJ-002"	70	279040168	0.0
	"1999"	"1999"	"Fall"	"GRINJ-003"	17	279040168	Unreliable
	"1999"	"1999"	"Fire/Flame"	"GRINJ-004"	190	279040168	0.1
	"1999"	"1999"	"Hot object/Substance"	"GRINJ-005"	7	279040168	Unreliable
	"1999"	"1999"	"Firearm"	"GRINJ-006"	10828	279040168	3.9
	"1999"	"1999"	"Other land transport"	"GRINJ-011"	106	279040168	0.0
	"1999"	"1999"	"Poisoning"	"GRINJ-015"	67	279040168	0.0
	"1999"	"1999"	"Struck by or against"	"GRINJ-016"	408	279040168	0.1
	"1999"	"1999"	"Suffocation"	"GRINJ-017"	708	279040168	0.3
	"1999"	"1999"	"Other specified, classifiable Injury"	"GRINJ-018"	317	279040168	0.1
	"1999"	"1999"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	881	279040168	0.3
	"1999"	"1999"	"Unspecified Injury"	"GRINJ-020"	1411	279040168	0.5
"Total"	"1999"	"1999"			16889	279040168	6.1
	"2000"	"2000"	"Cut/Pierce"	"GRINJ-001"	1805	281421906	0.6
	"2000"	"2000"	"Drowning"	"GRINJ-002"	39	281421906	0.0
	"2000"	"2000"	"Fall"	"GRINJ-003"	18	281421906	Unreliable
	"2000"	"2000"	"Fire/Flame"	"GRINJ-004"	174	281421906	0.1
	"2000"	"2000"	"Hot object/Substance"	"GRINJ-005"	7	281421906	Unreliable
	"2000"	"2000"	"Firearm"	"GRINJ-006"	10801	281421906	3.8
	"2000"	"2000"	"Other land transport"	"GRINJ-011"	106	281421906	0.0
	"2000"	"2000"	"Poisoning"	"GRINJ-015"	56	281421906	0.0
	"2000"	"2000"	"Struck by or against"	"GRINJ-016"	349	281421906	0.1
	"2000"	"2000"	"Suffocation"	"GRINJ-017"	658	281421906	0.2
	"2000"	"2000"	"Other specified, classifiable Injury"	"GRINJ-018"	325	281421906	0.1
	"2000"	"2000"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	964	281421906	0.3
	"2000"	"2000"	"Unspecified Injury"	"GRINJ-020"	1463	281421906	0.5
"Total"	"2000"	"2000"			16765	281421906	6.0
	"2001"	"2001"	"Cut/Pierce"	"GRINJ-001"	1971	284968955	0.7
	"2001"	"2001"	"Drowning"	"GRINJ-002"	68	284968955	0.0
	"2001"	"2001"	"Fall"	"GRINJ-003"	17	284968955	Unreliable
	"2001"	"2001"	"Fire/Flame"	"GRINJ-004"	141	284968955	0.0
	"2001"	"2001"	"Hot object/Substance"	"GRINJ-005"	7	284968955	Unreliable
	"2001"	"2001"	"Firearm"	"GRINJ-006"	11348	284968955	4.0
	"2001"	"2001"	"Other land transport"	"GRINJ-011"	86	284968955	0.0
	"2001"	"2001"	"Poisoning"	"GRINJ-015"	64	284968955	0.0
	"2001"	"2001"	"Struck by or against"	"GRINJ-016"	341	284968955	0.1
	"2001"	"2001"	"Suffocation"	"GRINJ-017"	690	284968955	0.2
	"2001"	"2001"	"Other specified, classifiable Injury"	"GRINJ-018"	316	284968955	0.1
	"2001"	"2001"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	831	284968955	0.3
	"2001"	"2001"	"Unspecified Injury"	"GRINJ-020"	1506	284968955	0.5
"Total"	"2001"	"2001"			17386	284968955	6.1
	"2002"	"2002"	"Cut/Pierce"	"GRINJ-001"	2074	287625193	0.7
	"2002"	"2002"	"Drowning"	"GRINJ-002"	72	287625193	0.0
	"2002"	"2002"	"Fall"	"GRINJ-003"	16	287625193	Unreliable
