"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Jan., 1999"	"1999/01"	1482	Not Applicable	Not Applicable
	"1999"	"1999"	"Feb., 1999"	"1999/02"	1199	Not Applicable	Not Applicable
	"1999"	"1999"	"Mar., 1999"	"1999/03"	1299	Not Applicable	Not Applicable
	"1999"	"1999"	"Apr., 1999"	"1999/04"	1304	Not Applicable	Not Applicable
	"1999"	"1999"	"May, 1999"	"1999/05"	1428	Not Applicable	Not Applicable
	"1999"	"1999"	"Jun., 1999"	"1999/06"	1421	Not Applicable	Not Applicable
	"1999"	"1999"	"Jul., 1999"	"1999/07"	1532	Not Applicable	Not Applicable
	"1999"	"1999"	"Aug., 1999"	"1999/08"	1476	Not Applicable	Not Applicable
	"1999"	"1999"	"Sep., 1999"	"1999/09"	1503	Not Applicable	Not Applicable
	"1999"	"1999"	"Oct., 1999"	"1999/10"	1450	Not Applicable	Not Applicable
	"1999"	"1999"	"Nov., 1999"	"1999/11"	1319	Not Applicable	Not Applicable
	"1999"	"1999"	"Dec., 1999"	"1999/12"	1476	Not Applicable	Not Applicable
"Total"	"1999"	"1999"			16889	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	1397	Not Applicable	Not Applicable
	"2000"	"2000"	"Feb., 2000"	"2000/02"	1261	Not Applicable	Not Applicable
	"2000"	"2000"	"Mar., 2000"	"2000/03"	1318	Not Applicable	Not Applicable
	"2000"	"2000"	"Apr., 2000"	"2000/04"	1278	Not Applicable	Not Applicable
	"2000"	"2000"	"May, 2000"	"2000/05"	1461	Not Applicable	Not Applicable
	"2000"	"2000"	"Jun., 2000"	"2000/06"	1460	Not Applicable	Not Applicable
	"2000"	"2000"	"Jul., 2000"	"2000/07"	1555	Not Applicable	Not Applicable
	"2000"	"2000"	"Aug., 2000"	"2000/08"	1510	Not Applicable	Not Applicable
	"2000"	"2000"	"Sep., 2000"	"2000/09"	1425	Not Applicable	Not Applicable
	"2000"	"2000"	"Oct., 2000"	"2000/10"	1424	Not Applicable	Not Applicable
	"2000"	"2000"	"Nov., 2000"	"2000/11"	1258	Not Applicable	Not Applicable
	"2000"	"2000"	"Dec., 2000"	"2000/12"	1418	Not Applicable	Not Applicable
"Total"	"2000"	"2000"			16765	Not Applicable	Not Applicable
	"2001"	"2001"	"Jan., 2001"	"2001/01"	1417	Not Applicable	Not Applicable
