"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Jan., 1999"	"1999/01"	1368	Not Applicable	Not Applicable
	"1999"	"1999"	"Feb., 1999"	"1999/02"	1365	Not Applicable	Not Applicable
	"1999"	"1999"	"Mar., 1999"	"1999/03"	1358	Not Applicable	Not Applicable
	"1999"	"1999"	"Apr., 1999"	"1999/04"	1480	Not Applicable	Not Applicable
	"1999"	"1999"	"May, 1999"	"1999/05"	1407	Not Applicable	Not Applicable
	"1999"	"1999"	"Jun., 1999"	"1999/06"	1361	Not Applicable	Not Applicable
	"1999"	"1999"	"Jul., 1999"	"1999/07"	1543	Not Applicable	Not Applicable
	"1999"	"1999"	"Aug., 1999"	"1999/08"	1451	Not Applicable	Not Applicable
	"1999"	"1999"	"Sep., 1999"	"1999/09"	1313	Not Applicable	Not Applicable
	"1999"	"1999"	"Oct., 1999"	"1999/10"	1448	Not Applicable	Not Applicable
	"1999"	"1999"	"Nov., 1999"	"1999/11"	1347	Not Applicable	Not Applicable
	"1999"	"1999"	"Dec., 1999"	"1999/12"	1408	Not Applicable	Not Applicable
"Total"	"1999"	"1999"			16849	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	1536	Not Applicable	Not Applicable
	"2000"	"2000"	"Feb., 2000"	"2000/02"	1470	Not Applicable	Not Applicable
	"2000"	"2000"	"Mar., 2000"	"2000/03"	1517	Not Applicable	Not Applicable
	"2000"	"2000"	"Apr., 2000"	"2000/04"	1553	Not Applicable	Not Applicable
	"2000"	"2000"	"May, 2000"	"2000/05"	1620	Not Applicable	Not Applicable
	"2000"	"2000"	"Jun., 2000"	"2000/06"	1505	Not Applicable	Not Applicable
	"2000"	"2000"	"Jul., 2000"	"2000/07"	1447	Not Applicable	Not Applicable
	"2000"	"2000"	"Aug., 2000"	"2000/08"	1436	Not Applicable	Not Applicable
	"2000"	"2000"	"Sep., 2000"	"2000/09"	1337	Not Applicable	Not Applicable
	"2000"	"2000"	"Oct., 2000"	"2000/10"	1253	Not Applicable	Not Applicable
	"2000"	"2000"	"Nov., 2000"	"2000/11"	1327	Not Applicable	Not Applicable
	"2000"	"2000"	"Dec., 2000"	"2000/12"	1414	Not Applicable	Not Applicable
"Total"	"2000"	"2000"			17415	Not Applicable	Not Applicable
	"2001"	"2001"	"Jan., 2001"	"2001/01"	1504	Not Applicable	Not Applicable
	"2001"	"2001"	"Feb., 2001"	"2001/02"	1352	Not Applicable	Not Applicable
	"2001"	"2001"	"Mar., 2001"	"2001/03"	1549	Not Applicable	Not Applicable
	"2001"	"2001"	"Apr., 2001"	"2001/04"	1675	Not Applicable	Not Applicable
	"2001"	"2001"	"May, 2001"	"2001/05"	1682	Not Applicable	Not Applicable
	"2001"	"2001"	"Jun., 2001"	"2001/06"	1678	Not Applicable	Not Applicable
	"2001"	"2001"	"Jul., 2001"	"2001/07"	1844	Not Applicable	Not Applicable
	"2001"	"2001"	"Aug., 2001"	"2001/08"	1777	Not Applicable	Not Applicable
	"2001"	"2001"	"Sep., 2001"	"2001/09"	1576	Not Applicable	Not Applicable
	"2001"	"2001"	"Oct., 2001"	"2001/10"	1606	Not Applicable	Not Applicable
	"2001"	"2001"	"Nov., 2001"	"2001/11"	1544	Not Applicable	Not Applicable
	"2001"	"2001"	"Dec., 2001"	"2001/12"	1607	Not Applicable	Not Applicable
"Total"	"2001"	"2001"			19394	Not Applicable	Not Applicable
	"2002"	"2002"	"Jan., 2002"	"2002/01"	1976	Not Applicable	Not Applicable
	"2002"	"2002"	"Feb., 2002"	"2002/02"	1805	Not Applicable	Not Applicable
	"2002"	"2002"	"Mar., 2002"	"2002/03"	2046	Not Applicable	Not Applicable
	"2002"	"2002"	"Apr., 2002"	"2002/04"	2011	Not Applicable	Not Applicable
	"2002"	"2002"	"May, 2002"	"2002/05"	2067	Not Applicable	Not Applicable
	"2002"	"2002"	"Jun., 2002"	"2002/06"	1921	Not Applicable	Not Applicable
	"2002"	"2002"	"Jul., 2002"	"2002/07"	2060	Not Applicable	Not Applicable
	"2002"	"2002"	"Aug., 2002"	"2002/08"	1950	Not Applicable	Not Applicable
	"2002"	"2002"	"Sep., 2002"	"2002/09"	1794	Not Applicable	Not Applicable
	"2002"	"2002"	"Oct., 2002"	"2002/10"	1937	Not Applicable	Not Applicable
	"2002"	"2002"	"Nov., 2002"	"2002/11"	2024	Not Applicable	Not Applicable
	"2002"	"2002"	"Dec., 2002"	"2002/12"	1927	Not Applicable	Not Applicable
"Total"	"2002"	"2002"			23518	Not Applicable	Not Applicable
	"2003"	"2003"	"Jan., 2003"	"2003/01"	2182	Not Applicable	Not Applicable
	"2003"	"2003"	"Feb., 2003"	"2003/02"	2088	Not Applicable	Not Applicable
	"2003"	"2003"	"Mar., 2003"	"2003/03"	2241	Not Applicable	Not Applicable
	"2003"	"2003"	"Apr., 2003"	"2003/04"	2090	Not Applicable	Not Applicable
	"2003"	"2003"	"May, 2003"	"2003/05"	2325	Not Applicable	Not Applicable
	"2003"	"2003"	"Jun., 2003"	"2003/06"	2165	Not Applicable	Not Applicable
	"2003"	"2003"	"Jul., 2003"	"2003/07"	2312	Not Applicable	Not Applicable
	"2003"	"2003"	"Aug., 2003"	"2003/08"	2144	Not Applicable	Not Applicable
	"2003"	"2003"	"Sep., 2003"	"2003/09"	1984	Not Applicable	Not Applicable
	"2003"	"2003"	"Oct., 2003"	"2003/10"	2097	Not Applicable	Not Applicable
	"2003"	"2003"	"Nov., 2003"	"2003/11"	2025	Not Applicable	Not Applicable
	"2003"	"2003"	"Dec., 2003"	"2003/12"	2132	Not Applicable	Not Applicable
"Total"	"2003"	"2003"			25785	Not Applicable	Not Applicable
	"2004"	"2004"	"Jan., 2004"	"2004/01"	2369	Not Applicable	Not Applicable
