"Notes"	"Year"	"Year Code"	"Race"	"Race Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	274	564085	48.6
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	10998	2268676	484.8
	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	40	Not Applicable	Not Applicable
"Total"	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"			11312	2832761	399.3
	"1999"	"1999"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	394	389153	101.2
	"1999"	"1999"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	33151	10957343	302.5
	"1999"	"1999"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	130	Not Applicable	Not Applicable
"Total"	"1999"	"1999"	"Asian or Pacific Islander"	"A-PI"			33675	11346496	296.8
	"1999"	"1999"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	1470	1450885	101.3
	"1999"	"1999"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	281979	34722236	812.1
	"1999"	"1999"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1615	Not Applicable	Not Applicable
"Total"	"1999"	"1999"	"Black or African American"	"2054-5"			285064	36173121	788.1
	"1999"	"1999"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	101602	31533672	322.2
	"1999"	"1999"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	1953197	197154118	990.7
	"1999"	"1999"	"White"	"2106-3"	"Not Stated"	"NS"	6549	Not Applicable	Not Applicable
"Total"	"1999"	"1999"	"White"	"2106-3"			2061348	228687790	901.4
"Total"	"1999"	"1999"					2391399	279040168	857.0
	"2000"	"2000"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	277	640108	43.3
	"2000"	"2000"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	11025	2344042	470.3
	"2000"	"2000"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	61	Not Applicable	Not Applicable
"Total"	"2000"	"2000"	"American Indian or Alaska Native"	"1002-5"			11363	2984150	380.8
	"2000"	"2000"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	510	402132	126.8
	"2000"	"2000"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	34226	11355553	301.4
	"2000"	"2000"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	139	Not Applicable	Not Applicable
"Total"	"2000"	"2000"	"Asian or Pacific Islander"	"A-PI"			34875	11757685	296.6
	"2000"	"2000"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	1519	1502500	101.1
	"2000"	"2000"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	282676	35091809	805.5
	"2000"	"2000"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1631	Not Applicable	Not Applicable
"Total"	"2000"	"2000"	"Black or African American"	"2054-5"			285826	36594309	781.1
	"2000"	"2000"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	104948	32761078	320.3
	"2000"	"2000"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	1959919	197324684	993.2
	"2000"	"2000"	"White"	"2106-3"	"Not Stated"	"NS"	6420	Not Applicable	Not Applicable
"Total"	"2000"	"2000"	"White"	"2106-3"			2071287	230085762	900.2
"Total"	"2000"	"2000"					2403351	281421906	854.0
	"2001"	"2001"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	312	736712	42.4
	"2001"	"2001"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	11626	2360621	492.5
	"2001"	"2001"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	39	Not Applicable	Not Applicable
"Total"	"2001"	"2001"	"American Indian or Alaska Native"	"1002-5"			11977	3097333	386.7
	"2001"	"2001"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	454	446003	101.8
	"2001"	"2001"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	36465	11983178	304.3
	"2001"	"2001"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	129	Not Applicable	Not Applicable
"Total"	"2001"	"2001"	"Asian or Pacific Islander"	"A-PI"			37048	12429181	298.1
	"2001"	"2001"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	1627	1611386	101.0
	"2001"	"2001"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	284343	35638389	797.9
	"2001"	"2001"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1739	Not Applicable	Not Applicable
"Total"	"2001"	"2001"	"Black or African American"	"2054-5"			287709	37249775	772.4
	"2001"	"2001"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	111020	34349995	323.2
	"2001"	"2001"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	1962810	197842671	992.1
	"2001"	"2001"	"White"	"2106-3"	"Not Stated"	"NS"	5861	Not Applicable	Not Applicable
"Total"	"2001"	"2001"	"White"	"2106-3"			2079691	232192666	895.7
"Total"	"2001"	"2001"					2416425	284968955	848.0
	"2002"	"2002"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	304	819168	37.1
	"2002"	"2002"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	12087	2383303	507.2
	"2002"	"2002"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	24	Not Applicable	Not Applicable
"Total"	"2002"	"2002"	"American Indian or Alaska Native"	"1002-5"			12415	3202471	387.7
	"2002"	"2002"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	553	481379	114.9
	"2002"	"2002"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	37636	12472384	301.8
	"2002"	"2002"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	143	Not Applicable	Not Applicable
"Total"	"2002"	"2002"	"Asian or Pacific Islander"	"A-PI"			38332	12953763	295.9
	"2002"	"2002"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	1767	1698520	104.0
	"2002"	"2002"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	286573	36049904	794.9
	"2002"	"2002"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1711	Not Applicable	Not Applicable
"Total"	"2002"	"2002"	"Black or African American"	"2054-5"			290051	37748424	768.4
	"2002"	"2002"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	114511	35618553	321.5
	"2002"	"2002"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	1981973	198101982	1000.5
	"2002"	"2002"	"White"	"2106-3"	"Not Stated"	"NS"	6105	Not Applicable	Not Applicable
"Total"	"2002"	"2002"	"White"	"2106-3"			2102589	233720535	899.6
"Total"	"2002"	"2002"					2443387	287625193	849.5
	"2003"	"2003"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	396	907535	43.6
	"2003"	"2003"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	12724	2404476	529.2
	"2003"	"2003"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	27	Not Applicable	Not Applicable
"Total"	"2003"	"2003"	"American Indian or Alaska Native"	"1002-5"			13147	3312011	396.9
	"2003"	"2003"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	665	518772	128.2
	"2003"	"2003"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	39319	12942337	303.8
	"2003"	"2003"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	143	Not Applicable	Not Applicable
"Total"	"2003"	"2003"	"Asian or Pacific Islander"	"A-PI"			40127	13461109	298.1
	"2003"	"2003"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	1789	1787536	100.1
	"2003"	"2003"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	287968	36422205	790.6
	"2003"	"2003"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1543	Not Applicable	Not Applicable
"Total"	"2003"	"2003"	"Black or African American"	"2054-5"			291300	38209741	762.4
	"2003"	"2003"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	119176	36835586	323.5
	"2003"	"2003"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	1979465	198289486	998.3
	"2003"	"2003"	"White"	"2106-3"	"Not Stated"	"NS"	5073	Not Applicable	Not Applicable
"Total"	"2003"	"2003"	"White"	"2106-3"			2103714	235125072	894.7
"Total"	"2003"	"2003"					2448288	290107933	843.9
	"2004"	"2004"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	406	1000953	40.6
	"2004"	"2004"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	12675	2428499	521.9
	"2004"	"2004"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	43	Not Applicable	Not Applicable
"Total"	"2004"	"2004"	"American Indian or Alaska Native"	"1002-5"			13124	3429452	382.7
	"2004"	"2004"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	760	560484	135.6
	"2004"	"2004"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	39667	13406530	295.9
	"2004"	"2004"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	106	Not Applicable	Not Applicable
"Total"	"2004"	"2004"	"Asian or Pacific Islander"	"A-PI"			40533	13967014	290.2
	"2004"	"2004"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	1976	1889807	104.6
	"2004"	"2004"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	283859	36848991	770.3
	"2004"	"2004"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1480	Not Applicable	Not Applicable
"Total"	"2004"	"2004"	"Black or African American"	"2054-5"			287315	38738798	741.7
	"2004"	"2004"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	119274	38050131	313.5
	"2004"	"2004"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	1933382	198619903	973.4
	"2004"	"2004"	"White"	"2106-3"	"Not Stated"	"NS"	3987	Not Applicable	Not Applicable
"Total"	"2004"	"2004"	"White"	"2106-3"			2056643	236670034	869.0
"Total"	"2004"	"2004"					2397615	292805298	818.8
	"2005"	"2005"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	487	1101386	44.2
	"2005"	"2005"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	13399	2452970	546.2
	"2005"	"2005"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	32	Not Applicable	Not Applicable
"Total"	"2005"	"2005"	"American Indian or Alaska Native"	"1002-5"			13918	3554356	391.6
	"2005"	"2005"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	775	606122	127.9
	"2005"	"2005"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	42324	13888295	304.7
	"2005"	"2005"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	95	Not Applicable	Not Applicable
"Total"	"2005"	"2005"	"Asian or Pacific Islander"	"A-PI"			43194	14494417	298.0
	"2005"	"2005"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	2391	2009995	119.0
	"2005"	"2005"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	289163	37270736	775.8
	"2005"	"2005"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1254	Not Applicable	Not Applicable
"Total"	"2005"	"2005"	"Black or African American"	"2054-5"			292808	39280731	745.4
	"2005"	"2005"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	127508	39306111	324.4
	"2005"	"2005"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	1967142	198880984	989.1
	"2005"	"2005"	"White"	"2106-3"	"Not Stated"	"NS"	3447	Not Applicable	Not Applicable
"Total"	"2005"	"2005"	"White"	"2106-3"			2098097	238187095	880.9
"Total"	"2005"	"2005"					2448017	295516599	828.4
	"2006"	"2006"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	566	1209963	46.8
	"2006"	"2006"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	13428	2477720	541.9
	"2006"	"2006"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	43	Not Applicable	Not Applicable
"Total"	"2006"	"2006"	"American Indian or Alaska Native"	"1002-5"			14037	3687683	380.6
	"2006"	"2006"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	776	653855	118.7
	"2006"	"2006"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	43798	14375996	304.7
	"2006"	"2006"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	133	Not Applicable	Not Applicable
"Total"	"2006"	"2006"	"Asian or Pacific Islander"	"A-PI"			44707	15029851	297.5
	"2006"	"2006"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	2145	2137612	100.3
	"2006"	"2006"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	286581	37719495	759.8
	"2006"	"2006"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1245	Not Applicable	Not Applicable
"Total"	"2006"	"2006"	"Black or African American"	"2054-5"			289971	39857107	727.5
	"2006"	"2006"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	129517	40604875	319.0
	"2006"	"2006"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	1944617	199200396	976.2
	"2006"	"2006"	"White"	"2106-3"	"Not Stated"	"NS"	3415	Not Applicable	Not Applicable
"Total"	"2006"	"2006"	"White"	"2106-3"			2077549	239805271	866.3
"Total"	"2006"	"2006"					2426264	298379912	813.1
	"2007"	"2007"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	626	1327365	47.2
	"2007"	"2007"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	13711	2502533	547.9
	"2007"	"2007"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	30	Not Applicable	Not Applicable
"Total"	"2007"	"2007"	"American Indian or Alaska Native"	"1002-5"			14367	3829898	375.1
	"2007"	"2007"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	759	704672	107.7
	"2007"	"2007"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	44763	14854701	301.3
	"2007"	"2007"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	87	Not Applicable	Not Applicable
"Total"	"2007"	"2007"	"Asian or Pacific Islander"	"A-PI"			45609	15559373	293.1
	"2007"	"2007"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	2135	2266409	94.2
	"2007"	"2007"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	286366	38184699	749.9
	"2007"	"2007"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1084	Not Applicable	Not Applicable
"Total"	"2007"	"2007"	"Black or African American"	"2054-5"			289585	40451108	715.9
	"2007"	"2007"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	131999	41898407	315.0
	"2007"	"2007"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	1939606	199492421	972.3
	"2007"	"2007"	"White"	"2106-3"	"Not Stated"	"NS"	2546	Not Applicable	Not Applicable
"Total"	"2007"	"2007"	"White"	"2106-3"			2074151	241390828	859.3
"Total"	"2007"	"2007"					2423712	301231207	804.6
	"2008"	"2008"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	610	1455459	41.9
	"2008"	"2008"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	14124	2528470	558.6
	"2008"	"2008"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	42	Not Applicable	Not Applicable
"Total"	"2008"	"2008"	"American Indian or Alaska Native"	"1002-5"			14776	3983929	370.9
	"2008"	"2008"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	863	758518	113.8
	"2008"	"2008"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	46956	15336181	306.2
	"2008"	"2008"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	84	Not Applicable	Not Applicable
"Total"	"2008"	"2008"	"Asian or Pacific Islander"	"A-PI"			47903	16094699	297.6
	"2008"	"2008"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	2107	2397226	87.9
	"2008"	"2008"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	285522	38651733	738.7
