Week Ending Date,State,State Abbreviation,Median Number,Lower Bound,Upper Bound,Outcome,MMWR Year,MMWR Week,Rolling 4-Week Mean,Rolling 4-Week Lower,Rolling 4-Week Upper
01/02/2016,Alabama,AL,,,,Drug Overdose,2015,52,,,
01/09/2016,Alabama,AL,10.06,,13.99,Drug Overdose,2016,1,,,
01/16/2016,Alabama,AL,10.32,,14.32,Drug Overdose,2016,2,,,
01/23/2016,Alabama,AL,11.67,,16.10,Drug Overdose,2016,3,,,12.52
01/30/2016,Alabama,AL,12.17,,16.74,Drug Overdose,2016,4,11.05,,15.29
02/06/2016,Alabama,AL,13.52,,18.48,Drug Overdose,2016,5,11.92,,16.41
02/13/2016,Alabama,AL,16.48,12.02,22.25,Drug Overdose,2016,6,13.46,,18.39
02/20/2016,Alabama,AL,14.03,10.13,19.13,Drug Overdose,2016,7,14.05,10.16,19.15
02/27/2016,Alabama,AL,13.00,,17.81,Drug Overdose,2016,8,14.26,10.31,19.42
03/05/2016,Alabama,AL,14.10,10.19,19.22,Drug Overdose,2016,9,14.40,10.42,19.60
03/12/2016,Alabama,AL,13.44,,18.38,Drug Overdose,2016,10,13.64,,18.63
03/19/2016,Alabama,AL,12.21,,16.79,Drug Overdose,2016,11,13.19,,18.05
03/26/2016,Alabama,AL,15.10,10.95,20.50,Drug Overdose,2016,12,13.71,,18.72
04/02/2016,Alabama,AL,11.06,,15.29,Drug Overdose,2016,13,12.95,,17.74
04/09/2016,Alabama,AL,16.36,11.93,22.10,Drug Overdose,2016,14,13.68,,18.67
04/16/2016,Alabama,AL,10.64,,14.74,Drug Overdose,2016,15,13.29,,18.16
04/23/2016,Alabama,AL,12.64,,17.35,Drug Overdose,2016,16,12.67,,17.37
04/30/2016,Alabama,AL,14.21,10.28,19.37,Drug Overdose,2016,17,13.46,,18.39
05/07/2016,Alabama,AL,13.50,,18.46,Drug Overdose,2016,18,12.75,,17.48
05/14/2016,Alabama,AL,13.64,,18.63,Drug Overdose,2016,19,13.50,,18.45
05/21/2016,Alabama,AL,12.10,,16.65,Drug Overdose,2016,20,13.36,,18.28
05/28/2016,Alabama,AL,12.90,,17.69,Drug Overdose,2016,21,13.04,,17.86
06/04/2016,Alabama,AL,13.38,,18.29,Drug Overdose,2016,22,13.00,,17.82
06/11/2016,Alabama,AL,15.33,11.14,20.80,Drug Overdose,2016,23,13.43,,18.36
06/18/2016,Alabama,AL,14.33,10.37,19.52,Drug Overdose,2016,24,13.99,10.11,19.08
06/25/2016,Alabama,AL,17.35,12.69,23.35,Drug Overdose,2016,25,15.10,10.96,20.49
07/02/2016,Alabama,AL,16.39,11.95,22.14,Drug Overdose,2016,26,15.85,11.54,21.45
07/09/2016,Alabama,AL,15.41,11.20,20.90,Drug Overdose,2016,27,15.87,11.55,21.48
07/16/2016,Alabama,AL,15.42,11.20,20.91,Drug Overdose,2016,28,16.14,11.76,21.82
07/23/2016,Alabama,AL,12.89,,17.67,Drug Overdose,2016,29,15.03,10.90,20.40
07/30/2016,Alabama,AL,13.49,,18.44,Drug Overdose,2016,30,14.30,10.35,19.48
08/06/2016,Alabama,AL,13.41,,18.34,Drug Overdose,2016,31,13.80,,18.84
08/13/2016,Alabama,AL,12.28,,16.88,Drug Overdose,2016,32,13.02,,17.83
08/20/2016,Alabama,AL,13.18,,18.05,Drug Overdose,2016,33,13.09,,17.93
08/27/2016,Alabama,AL,16.33,11.90,22.06,Drug Overdose,2016,34,13.80,,18.83
09/03/2016,Alabama,AL,15.02,10.89,20.40,Drug Overdose,2016,35,14.20,10.27,19.34
09/10/2016,Alabama,AL,15.36,11.15,20.83,Drug Overdose,2016,36,14.97,10.86,20.33
09/17/2016,Alabama,AL,11.47,,15.83,Drug Overdose,2016,37,14.54,10.54,19.78
09/24/2016,Alabama,AL,12.83,,17.59,Drug Overdose,2016,38,13.67,,18.66
10/01/2016,Alabama,AL,14.89,10.80,20.24,Drug Overdose,2016,39,13.64,,18.62
10/08/2016,Alabama,AL,12.96,,17.76,Drug Overdose,2016,40,13.04,,17.86
10/15/2016,Alabama,AL,13.81,,18.85,Drug Overdose,2016,41,13.62,,18.61
10/22/2016,Alabama,AL,11.00,,15.22,Drug Overdose,2016,42,13.17,,18.02
10/29/2016,Alabama,AL,10.81,,14.97,Drug Overdose,2016,43,12.15,,16.70
11/05/2016,Alabama,AL,12.06,,16.59,Drug Overdose,2016,44,11.92,,16.41
11/12/2016,Alabama,AL,15.51,11.28,21.03,Drug Overdose,2016,45,12.35,,16.95
11/19/2016,Alabama,AL,15.13,10.98,20.55,Drug Overdose,2016,46,13.38,,18.28
11/26/2016,Alabama,AL,13.35,,18.26,Drug Overdose,2016,47,14.01,10.13,19.11
