Yearmon,Deaths,Year,Month,Population,Rate,Floyd,Floyd2,n
Jan 1999,1482,1999,1,279040168,0.5311063316160274,FALSE,0,1999
Feb 1999,1199,1999,2,279040168,0.4296872413006861,FALSE,0,1999.0833333333333
Mar 1999,1299,1999,3,279040168,0.46552437568773253,FALSE,0,1999.1666666666667
Apr 1999,1304,1999,4,279040168,0.4673162324070848,FALSE,0,1999.25
May 1999,1428,1999,5,279040168,0.5117542790470224,FALSE,0,1999.3333333333333
Jun 1999,1421,1999,6,279040168,0.5092456796399291,FALSE,0,1999.4166666666667
Jul 1999,1532,1999,7,279040168,0.5490248988095506,FALSE,0,1999.5
Aug 1999,1476,1999,8,279040168,0.5289561035528046,FALSE,0,1999.5833333333333
Sep 1999,1503,1999,9,279040168,0.5386321298373071,FALSE,0,1999.6666666666667
Oct 1999,1450,1999,10,279040168,0.5196384486121726,FALSE,0,1999.75
Nov 1999,1319,1999,11,279040168,0.4726918025651418,FALSE,0,1999.8333333333333
Dec 1999,1476,1999,12,279040168,0.5289561035528046,FALSE,0,1999.9166666666667
Jan 2000,1397,2000,1,281421906,0.4964076961372012,FALSE,0,2000
Feb 2000,1261,2000,2,281421906,0.4480816784745961,FALSE,0,2000.0833333333333
Mar 2000,1318,2000,3,281421906,0.4683359652890703,FALSE,0,2000.1666666666667
Apr 2000,1278,2000,4,281421906,0.4541224306824217,FALSE,0,2000.25
May 2000,1461,2000,5,281421906,0.5191493515078389,FALSE,0,2000.3333333333333
Jun 2000,1460,2000,6,281421906,0.5187940131426727,FALSE,0,2000.4166666666667
Jul 2000,1555,2000,7,281421906,0.5525511578334631,FALSE,0,2000.5
Aug 2000,1510,2000,8,281421906,0.5365609314009834,FALSE,0,2000.5833333333333
Sep 2000,1425,2000,9,281421906,0.5063571703618552,FALSE,0,2000.6666666666667
Oct 2000,1424,2000,10,281421906,0.506001831996689,FALSE,0,2000.75
Nov 2000,1258,2000,11,281421906,0.44701566337909743,FALSE,0,2000.8333333333333
Dec 2000,1418,2000,12,281421906,0.5038698018056917,FALSE,0,2000.9166666666667
Jan 2001,1417,2001,1,284968955,0.4972471475006813,FALSE,0,2001
Feb 2001,1133,2001,2,284968955,0.39758716874966255,FALSE,0,2001.0833333333333
Mar 2001,1266,2001,3,284968955,0.44425891936193546,FALSE,0,2001.1666666666667
Apr 2001,1404,2001,4,284968955,0.4926852470648952,FALSE,0,2001.25
May 2001,1416,2001,5,284968955,0.49689623208254385,FALSE,0,2001.3333333333333
Jun 2001,1464,2001,6,284968955,0.5137401721531386,FALSE,0,2001.4166666666667
Jul 2001,1650,2001,7,284968955,0.5790104399266931,FALSE,0,2001.5
Aug 2001,1509,2001,8,284968955,0.5295313659693212,FALSE,0,2001.5833333333333
Sep 2001,1487,2001,9,284968955,0.5218112267702986,FALSE,0,2001.6666666666667
Oct 2001,1618,2001,10,284968955,0.5677811465462966,FALSE,0,2001.75
Nov 2001,1471,2001,11,284968955,0.5161965800801003,FALSE,0,2001.8333333333333
Dec 2001,1558,2001,12,284968955,0.5467262214580533,FALSE,0,2001.9166666666667
Jan 2002,1424,2002,1,287625193,0.49508875948846387,FALSE,0,2002
Feb 2002,1218,2002,2,287625193,0.4234677732141496,FALSE,0,2002.0833333333333
Mar 2002,1390,2002,3,287625193,0.4832678200062955,FALSE,0,2002.1666666666667
Apr 2002,1395,2002,4,287625193,0.48500619345955553,FALSE,0,2002.25
May 2002,1428,2002,5,287625193,0.49647945825107187,FALSE,0,2002.3333333333333
Jun 2002,1450,2002,6,287625193,0.5041283014454161,FALSE,0,2002.4166666666667
Jul 2002,1638,2002,7,287625193,0.5694911432879942,FALSE,0,2002.5
Aug 2002,1628,2002,8,287625193,0.5660143963814741,FALSE,0,2002.5833333333333
Sep 2002,1687,2002,9,287625193,0.5865272031299428,FALSE,0,2002.6666666666667
Oct 2002,1481,2002,10,287625193,0.5149062168556285,FALSE,0,2002.75
Nov 2002,1441,2002,11,287625193,0.5009992292295481,FALSE,0,2002.8333333333333
Dec 2002,1458,2002,12,287625193,0.5069096989706322,FALSE,0,2002.9166666666667
Jan 2003,1383,2003,1,290107933,0.4767191250850765,FALSE,0,2003
Feb 2003,1241,2003,2,290107933,0.4277718251848011,FALSE,0,2003.0833333333333
Mar 2003,1460,2003,3,290107933,0.5032609708056485,FALSE,0,2003.1666666666667
Apr 2003,1454,2003,4,290107933,0.5011927750352142,FALSE,0,2003.25
May 2003,1517,2003,5,290107933,0.522908830624773,FALSE,0,2003.3333333333333
Jun 2003,1489,2003,6,290107933,0.5132572503627469,FALSE,0,2003.4166666666667
Jul 2003,1670,2003,7,290107933,0.5756478227708444,FALSE,0,2003.5
Aug 2003,1626,2003,8,290107933,0.5604810537876606,FALSE,0,2003.5833333333333
Sep 2003,1541,2003,9,290107933,0.5311816137065097,FALSE,0,2003.6666666666667
Oct 2003,1487,2003,10,290107933,0.5125678517726021,FALSE,0,2003.75
Nov 2003,1372,2003,11,290107933,0.4729274328392805,FALSE,0,2003.8333333333333
Dec 2003,1492,2003,12,290107933,0.514291348247964,FALSE,0,2003.9166666666667
