Year,Month,Yearmon,Deaths,Race,Population,Rate,n
1999,1,Jan 1999,23,Indian,2268676,1.0138071721127213,1999
1999,1,Jan 1999,28,Asian,10957343,0.25553640147981127,1999
1999,1,Jan 1999,654,Black,34722236,1.8835192526195608,1999
1999,1,Jan 1999,240,Hispanic,31533672,0.7610911916633115,1999
1999,1,Jan 1999,555,White,197154118,0.28150565944557143,1999
1999,2,Feb 1999,24,Indian,2268676,1.0578857448132744,1999.0833333333333
1999,2,Feb 1999,26,Asian,10957343,0.23728380137411048,1999.0833333333333
1999,2,Feb 1999,554,Black,34722236,1.595519366897915,1999.0833333333333
1999,2,Feb 1999,202,Hispanic,31533672,0.6405850863166205,1999.0833333333333
1999,2,Feb 1999,417,White,197154118,0.2115096576374834,1999.0833333333333
1999,3,Mar 1999,15,Indian,2268676,0.6611785905082964,1999.1666666666667
1999,3,Mar 1999,32,Asian,10957343,0.2920416016912129,1999.1666666666667
1999,3,Mar 1999,610,Black,34722236,1.7567993029020366,1999.1666666666667
1999,3,Mar 1999,219,Hispanic,31533672,0.6944957123927717,1999.1666666666667
1999,3,Mar 1999,446,White,197154118,0.22621896236527,1999.1666666666667
1999,4,Apr 1999,19,Indian,2268676,0.8374928813105088,1999.25
1999,4,Apr 1999,23,Asian,10957343,0.20990490121555927,1999.25
1999,4,Apr 1999,601,Black,34722236,1.7308793131870883,1999.25
1999,4,Apr 1999,195,Hispanic,31533672,0.6183865932264406,1999.25
1999,4,Apr 1999,474,White,197154118,0.2404210496886502,1999.25
1999,5,May 1999,22,Indian,2268676,0.9697285994121683,1999.3333333333333
1999,5,May 1999,21,Asian,10957343,0.19165230110985848,1999.3333333333333
1999,5,May 1999,683,Black,34722236,1.9670392194788378,1999.3333333333333
1999,5,May 1999,222,Hispanic,31533672,0.7040093522885632,1999.3333333333333
1999,5,May 1999,490,White,197154118,0.24853652815915314,1999.3333333333333
1999,6,Jun 1999,23,Indian,2268676,1.0138071721127213,1999.4166666666667
1999,6,Jun 1999,25,Asian,10957343,0.2281575013212601,1999.4166666666667
1999,6,Jun 1999,639,Black,34722236,1.8403192697613138,1999.4166666666667
1999,6,Jun 1999,257,Hispanic,31533672,0.8150018177394628,1999.4166666666667
1999,6,Jun 1999,491,White,197154118,0.24904374556355957,1999.4166666666667
1999,7,Jul 1999,21,Indian,2268676,0.925650026711615,1999.5
1999,7,Jul 1999,29,Asian,10957343,0.26466270153266175,1999.5
1999,7,Jul 1999,683,Black,34722236,1.9670392194788378,1999.5
1999,7,Jul 1999,266,Hispanic,31533672,0.8435427374268369,1999.5
1999,7,Jul 1999,539,White,197154118,0.27339018097506845,1999.5
1999,8,Aug 1999,20,Indian,2268676,0.881571454011062,1999.5833333333333
1999,8,Aug 1999,50,Asian,10957343,0.4563150026425202,1999.5833333333333
1999,8,Aug 1999,648,Black,34722236,1.866239259476262,1999.5833333333333
1999,8,Aug 1999,257,Hispanic,31533672,0.8150018177394628,1999.5833333333333
1999,8,Aug 1999,518,White,197154118,0.2627386154825333,1999.5833333333333
1999,9,Sep 1999,23,Indian,2268676,1.0138071721127213,1999.6666666666667
1999,9,Sep 1999,31,Asian,10957343,0.28291530163836254,1999.6666666666667
1999,9,Sep 1999,668,Black,34722236,1.923839236620591,1999.6666666666667
1999,9,Sep 1999,275,Hispanic,31533672,0.8720836571142112,1999.6666666666667
1999,9,Sep 1999,522,White,197154118,0.2647674851001591,1999.6666666666667
1999,10,Oct 1999,11,Indian,2268676,0.48486429970608413,1999.75
1999,10,Oct 1999,27,Asian,10957343,0.24641010142696088,1999.75
1999,10,Oct 1999,629,Black,34722236,1.8115192811891492,1999.75
1999,10,Oct 1999,255,Hispanic,31533672,0.8086593911422685,1999.75
1999,10,Oct 1999,534,White,197154118,0.2708540939530363,1999.75
1999,11,Nov 1999,21,Indian,2268676,0.925650026711615,1999.8333333333333
1999,11,Nov 1999,30,Asian,10957343,0.2737890015855121,1999.8333333333333
1999,11,Nov 1999,600,Black,34722236,1.7279993143298722,1999.8333333333333
1999,11,Nov 1999,240,Hispanic,31533672,0.7610911916633115,1999.8333333333333
1999,11,Nov 1999,434,White,197154118,0.22013235351239277,1999.8333333333333
1999,12,Dec 1999,26,Indian,2268676,1.1460428902143804,1999.9166666666667
1999,12,Dec 1999,35,Asian,10957343,0.3194205018497641,1999.9166666666667
1999,12,Dec 1999,691,Black,34722236,1.9900792103365692,1999.9166666666667
1999,12,Dec 1999,220,Hispanic,31533672,0.6976669256913689,1999.9166666666667
1999,12,Dec 1999,525,White,197154118,0.2662891373133784,1999.9166666666667
2000,1,Jan 2000,12,Indian,2344042,0.5119362195728575,2000
2000,1,Jan 2000,31,Asian,11355553,0.27299419059556146,2000
2000,1,Jan 2000,647,Black,35091809,1.8437351006897365,2000
2000,1,Jan 2000,218,Hispanic,32761078,0.6654237690224968,2000
2000,1,Jan 2000,510,White,197324684,0.2584572744076965,2000
2000,2,Feb 2000,11,Indian,2344042,0.469274867941786,2000.0833333333333
2000,2,Feb 2000,30,Asian,11355553,0.2641879263828014,2000.0833333333333
2000,2,Feb 2000,577,Black,35091809,1.6442583510015116,2000.0833333333333
2000,2,Feb 2000,211,Hispanic,32761078,0.6440569507511322,2000.0833333333333
2000,2,Feb 2000,442,White,197324684,0.22399630448667032,2000.0833333333333
2000,3,Mar 2000,20,Indian,2344042,0.8532270326214292,2000.1666666666667
2000,3,Mar 2000,23,Asian,11355553,0.2025440768934811,2000.1666666666667
2000,3,Mar 2000,631,Black,35091809,1.7981404150467137,2000.1666666666667
2000,3,Mar 2000,207,Hispanic,32761078,0.6318473403103524,2000.1666666666667
2000,3,Mar 2000,438,White,197324684,0.2219691886089629,2000.1666666666667
2000,4,Apr 2000,14,Indian,2344042,0.5972589228350004,2000.25
2000,4,Apr 2000,37,Asian,11355553,0.32583177587212175,2000.25
2000,4,Apr 2000,595,Black,35091809,1.6955523723499122,2000.25
2000,4,Apr 2000,222,Hispanic,32761078,0.6776333794632765,2000.25
2000,4,Apr 2000,419,White,197324684,0.2123403881898526,2000.25
2000,5,May 2000,18,Indian,2344042,0.7679043293592863,2000.3333333333333
2000,5,May 2000,31,Asian,11355553,0.27299419059556146,2000.3333333333333
2000,5,May 2000,726,Black,35091809,2.0688588610521617,2000.3333333333333
2000,5,May 2000,247,Hispanic,32761078,0.75394344471815,2000.3333333333333
2000,5,May 2000,453,White,197324684,0.2295708731503657,2000.3333333333333
2000,6,Jun 2000,20,Indian,2344042,0.8532270326214292,2000.4166666666667
2000,6,Jun 2000,26,Asian,11355553,0.22896286953176123,2000.4166666666667
2000,6,Jun 2000,671,Black,35091809,1.9121271291542705,2000.4166666666667
2000,6,Jun 2000,260,Hispanic,32761078,0.7936246786506842,2000.4166666666667
2000,6,Jun 2000,485,White,197324684,0.24578780017202512,2000.4166666666667
2000,7,Jul 2000,13,Indian,2344042,0.5545975712039289,2000.5
2000,7,Jul 2000,28,Asian,11355553,0.24657539795728134,2000.5
2000,7,Jul 2000,733,Black,35091809,2.0888065360209844,2000.5
2000,7,Jul 2000,310,Hispanic,32761078,0.9462448091604312,2000.5
2000,7,Jul 2000,497,White,197324684,0.25186914780514735,2000.5
2000,8,Aug 2000,18,Indian,2344042,0.7679043293592863,2000.5833333333333
2000,8,Aug 2000,35,Asian,11355553,0.3082192474466017,2000.5833333333333
2000,8,Aug 2000,709,Black,35091809,2.02041450755645,2000.5833333333333
2000,8,Aug 2000,257,Hispanic,32761078,0.7844674708200993,2000.5833333333333
2000,8,Aug 2000,504,White,197324684,0.25541660059113536,2000.5833333333333
2000,9,Sep 2000,19,Indian,2344042,0.8105656809903578,2000.6666666666667
2000,9,Sep 2000,23,Asian,11355553,0.2025440768934811,2000.6666666666667
2000,9,Sep 2000,660,Black,35091809,1.8807807827746925,2000.6666666666667
2000,9,Sep 2000,252,Hispanic,32761078,0.7692054577691247,2000.6666666666667
2000,9,Sep 2000,486,White,197324684,0.24629457914145197,2000.6666666666667
2000,10,Oct 2000,18,Indian,2344042,0.7679043293592863,2000.75
2000,10,Oct 2000,30,Asian,11355553,0.2641879263828014,2000.75
2000,10,Oct 2000,621,Black,35091809,1.769643736519824,2000.75
2000,10,Oct 2000,273,Hispanic,32761078,0.8333059125832183,2000.75
2000,10,Oct 2000,494,White,197324684,0.2503488108968668,2000.75
2000,11,Nov 2000,16,Indian,2344042,0.6825816260971433,2000.8333333333333
2000,11,Nov 2000,28,Asian,11355553,0.24657539795728134,2000.8333333333333
